Timestamp start: 1747266565027
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      203.3   122.7    80.4   132.0   141.8   192.6   214.9   227.7   236.4   249.2   265.5   291.9   363.7  1114.5  7126.5   4936.0     5000  1747266566536  1747266571801
read      224.7   411.7    80.4   130.3   142.6   200.9   224.8   238.0   249.0   261.7   277.2   304.1   383.8  9372.1 11958.2  10048.8    10000  1747266573306  1747266578543
read      233.3   397.3    74.4   128.8   143.1   210.1   235.6   250.8   262.0   274.4   291.9   319.2   409.1  8808.7 11739.4  14910.8    15000  1747266580047  1747266585252
read      226.5   229.4    74.4   124.8   140.4   216.6   245.5   261.7   272.8   286.8   304.3   334.9   406.4   869.8 11219.4  20020.0    20000  1747266586757  1747266591960
read      223.1   131.8    63.8   119.3   134.9   217.8   247.6   264.0   275.1   290.0   308.8   339.7   411.6   574.6  7597.8  25183.2    25000  1747266593465  1747266598667
read      232.1   296.8    68.9   116.8   131.5   220.5   252.4   270.0   282.7   296.9   316.8   350.4   433.7   938.4 12092.3  30101.4    30000  1747266600171  1747266605369
read      233.3   289.7    74.4   114.8   128.9   222.7   258.1   275.5   288.8   303.8   322.6   357.5   436.8   812.6 11860.3  34930.2    35000  1747266606875  1747266612074
read      224.1    81.0    68.9   111.9   125.1   221.8   257.9   275.5   288.7   303.7   322.6   355.6   427.0   569.5  1657.9  39848.1    40000  1747266613578  1747266618778
read      229.6   133.2    68.9   110.8   123.7   223.7   263.4   282.9   296.2   312.8   335.0   371.3   465.2   911.8  3429.9  44941.0    45000  1747266620283  1747266625482
read      223.1    85.1    68.9   107.3   119.8   219.5   260.0   279.2   292.8   309.3   330.5   365.1   436.2   592.1  1529.0  50142.6    50000  1747266626988  1747266632184
read      224.3   150.6    68.9   107.6   119.5   216.1   259.9   280.9   295.0   312.0   334.2   369.8   449.7   618.7 10476.4  54919.4    55000  1747266633690  1747266638888
read      224.3   148.0    63.8   105.8   117.3   214.1   261.0   282.7   297.0   314.4   337.3   372.4   450.9   798.0  7197.3  60142.2    60000  1747266640393  1747266645591
read      222.2    97.4    68.9   105.4   116.8   210.5   261.2   284.3   299.6   317.3   341.3   377.4   456.3   601.5  2284.2  65039.8    65000  1747266647096  1747266652292
read      220.5    98.0    63.8   104.7   115.5   204.5   256.5   281.4   297.8   317.1   342.8   383.9   469.7   760.6  2077.4  70005.2    70000  1747266653797  1747266658998
read      219.8   178.4    68.9   103.6   114.4   201.4   253.6   278.6   295.3   314.8   340.3   379.6   469.0   720.3 11514.2  75120.6    75000  1747266660503  1747266665701
read      217.2    95.3    68.9   103.9   114.4   198.0   253.9   281.0   298.5   318.1   343.0   381.2   458.7   616.0  2227.8  80268.8    80000  1747266667206  1747266672406
read      217.0   102.7    63.8   102.3   112.9   197.3   251.9   278.8   296.2   316.7   343.2   384.2   478.2   714.0  2537.5  84982.6    85000  1747266673911  1747266679111
read      225.4   236.4    68.9   104.2   115.0   199.4   254.9   283.3   302.5   324.2   353.5   400.3   553.3  1147.6 19071.6  90266.3    90000  1747266680616  1747266685817
read      219.0   167.0    63.8   104.3   114.9   195.2   248.6   277.4   296.5   318.1   345.9   390.4   492.0   763.7 10991.5  94988.0    95000  1747266687322  1747266692521
read      215.4    94.7    63.8   103.5   114.2   194.5   248.2   276.8   295.6   316.5   342.6   382.1   464.5   672.3  1308.2 100162.5   100000  1747266694026  1747266699226
read      217.1   117.5    63.8   104.8   115.4   193.3   245.7   275.7   296.0   318.5   346.9   391.0   487.6   760.1  3795.2 104830.0   105000  1747266700731  1747266705930
read      211.2   128.3    63.8   104.1   114.4   187.7   238.2   268.4   288.3   310.0   336.3   374.4   456.7   632.6  2984.8 109935.0   110000  1747266707435  1747266712637
read      212.4    97.2    63.8   104.8   115.3   188.4   238.6   269.4   289.9   312.4   339.8   381.5   472.5   702.1  1962.3 114940.3   115000  1747266714141  1747266719341
read      213.4   103.4    63.8   105.8   116.4   188.8   236.3   267.0   288.0   311.4   340.2   384.3   496.3   838.6  2653.5 119764.6   120000  1747266720845  1747266726045
read      207.1   113.1    63.8   105.0   115.2   183.7   228.6   257.7   278.6   301.7   329.4   370.4   461.7   734.1  3190.3 125001.1   125000  1747266727549  1747266732748
read      209.6    90.8    63.8   107.3   118.2   187.6   231.9   260.6   281.2   304.4   332.2   372.5   457.2   663.4  1280.5 130129.6   130000  1747266734253  1747266739452
read      227.2   135.3    68.9   110.9   122.2   197.8   245.3   274.9   296.4   321.6   355.6   409.6   632.2  1606.7  3894.2 135170.4   135000  1747266740957  1747266746154
read      226.4   105.7    68.9   112.1   124.6   203.7   252.2   281.0   301.4   324.9   355.8   401.6   512.5   835.3  2745.7 139976.9   140000  1747266747659  1747266752860
read      227.2   121.9    68.9   114.9   128.4   208.1   253.5   280.2   299.2   320.8   348.8   392.5   485.7   709.7  2619.9 145142.4   145000  1747266754365  1747266759565
read      226.4   101.3    68.9   115.6   129.0   205.8   249.2   275.2   294.8   317.7   347.0   394.7   518.1   880.4  2164.5 150057.4   150000  1747266761070  1747266766268
read      243.1   111.1    68.9   120.0   134.4   220.1   267.7   296.0   317.5   343.6   379.1   435.2   584.5   935.9  1865.3 154723.5   155000  1747266767773  1747266772972
read      301.7   157.2    68.9   126.0   142.1   263.9   341.9   388.6   423.1   464.1   516.5   595.8   761.9  1017.4  2363.4 158168.7   160000  1747266774478  1747266779677
read      291.9   152.2    68.9   129.7   146.8   260.5   327.0   366.5   395.3   429.8   474.0   546.9   719.5  1225.1  3892.1 165046.0   165000  1747266781182  1747266786383
read      238.5   118.3    68.9   122.0   136.7   216.5   258.9   285.0   305.1   330.5   365.6   423.7   570.4   925.0  2095.5 169588.7   170000  1747266787888  1747266793088
read      269.2   117.8    74.4   135.6   152.7   248.8   297.9   327.4   349.1   375.4   410.4   466.7   594.2   871.9  1852.9 175087.0   175000  1747266794593  1747266799796
read      274.9   130.2    74.4   137.3   154.2   251.5   302.7   333.8   357.2   385.7   423.3   484.5   628.2   994.7  2636.6 179792.8   180000  1747266801301  1747266806503
read      308.6   170.4    74.4   140.2   158.5   271.4   340.9   386.4   420.7   461.6   512.5   588.6   742.7   975.1  3489.5 172039.0   185000  1747266808009  1747266813210
read      302.8   134.8    74.4   157.5   178.5   285.5   336.5   365.9   387.5   412.7   446.0   498.9   617.7   867.2  3853.6 187565.4   190000  1747266814715  1747266819916
read      249.8   109.9    74.4   136.0   151.6   230.4   268.9   292.6   311.6   335.5   369.0   426.9   567.8   887.7  2511.8 193408.3   195000  1747266821422  1747266826623
read      276.9   115.8    68.9   151.4   170.1   258.2   298.2   322.7   342.4   367.5   401.5   463.2   620.4   986.2  2542.0 195010.4   200000  1747266828127  1747266833331
read      315.4   153.1    68.9   158.6   180.2   289.2   345.5   382.7   410.2   444.0   486.0   546.6   675.6   947.6  4123.4 188907.3   205000  1747266834839  1747266840038
read      299.7   121.9    74.4   157.7   178.6   283.4   330.0   357.5   377.9   403.3   438.1   496.7   629.4   884.3  2342.8 195979.9   210000  1747266841544  1747266846747
read      322.0   155.2    74.4   161.0   183.6   297.6   354.9   390.4   416.8   448.4   489.1   550.2   692.5  1067.0  2958.9 190711.9   215000  1747266848250  1747266853450
read      327.9   130.0    74.4   179.0   202.7   304.9   356.2   389.3   414.6   445.9   486.7   547.1   676.3   884.7  2072.5 192057.6   220000  1747266854956  1747266860156
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 82.75%,48.26%,100.00%
Timestamp end: 1747266860450
