#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      183.6    97.4    74.4   109.9   119.2   170.0   196.1   212.3   223.8   235.9   252.2   276.0   399.8  1269.6  3584.3  29985.3    30000  1746630841757  1746630851935
read      207.9   239.1    68.9   108.2   118.9   172.0   198.4   215.0   227.2   241.2   260.3   304.9  1046.7  3817.8  6260.4  29975.0    30005  1746630853444  1746630863563
read      245.4   451.8    68.9   105.8   116.7   172.8   205.2   227.1   243.7   267.1   329.1   663.6  1453.0  4312.9 23456.0  30119.4    30010  1746630865071  1746630875166
read      198.1   196.6    68.9   106.5   117.8   171.9   197.9   214.0   225.4   237.8   254.4   284.9  1007.5  2513.6  6433.2  30100.6    30015  1746630876674  1746630886771
read      177.5    78.4    68.9   107.6   118.2   169.3   192.8   206.8   217.1   228.9   242.8   263.0   306.7   809.8  3304.6  30040.4    30020  1746630888280  1746630898374
read      178.3    78.9    68.9   108.4   118.8   169.6   193.6   208.0   218.3   230.2   244.7   265.9   312.6   715.2  3336.6  29981.4    30025  1746630899882  1746630909979
read      178.8    77.1    68.9   105.6   117.1   171.1   195.8   210.6   221.0   232.5   247.2   268.1   312.2   550.7  3097.8  29980.5    30030  1746630911487  1746630921583
read      177.2    71.9    68.9   105.1   117.3   170.8   194.0   207.7   217.7   229.3   243.2   263.2   303.9   456.1  3009.2  29967.0    30035  1746630923090  1746630933185
read      177.6    70.5    63.8   101.8   114.5   171.0   195.7   210.0   220.2   231.5   245.5   265.7   308.7   597.2  2565.9  29998.4    30040  1746630934693  1746630944787
read      176.5    85.7    74.4   108.7   118.8   168.5   191.5   205.1   215.4   227.0   240.8   261.0   301.8   535.7  3627.0  30048.4    30045  1746630946296  1746630956390
read      177.4    79.2    68.9   107.2   118.3   169.5   192.9   206.8   217.1   228.9   243.1   263.8   307.4   618.6  3145.5  30086.2    30050  1746630957899  1746630967996
read      176.6    75.6    63.8   106.1   117.8   168.4   192.4   206.7   217.1   229.1   243.5   264.6   307.8   589.3  2350.7  30137.5    30055  1746630969504  1746630979599
read      178.4    74.5    68.9   107.5   118.3   169.6   195.1   210.4   221.1   232.8   247.5   268.0   310.5   590.9  2991.3  30038.6    30060  1746630981109  1746630991206
read      179.3    77.1    74.4   109.6   118.9   169.6   195.7   211.5   222.6   234.3   249.1   269.9   315.5   658.2  2680.7  30082.3    30065  1746630992715  1746631002811
read      179.0   104.1    74.4   108.6   118.8   169.4   193.1   207.4   217.8   229.6   243.7   264.0   307.5  1268.8  4813.5  30117.3    30070  1746631004320  1746631014415
read      178.8    89.5    68.9   107.9   118.9   170.7   194.8   209.1   219.2   230.8   245.0   265.4   307.3   629.2  3744.4  30183.6    30075  1746631015923  1746631026017
read      175.8    76.9    68.9   106.6   117.8   168.5   190.9   204.2   214.5   226.0   239.5   259.7   300.3   680.0  2769.8  30031.9    30080  1746631027524  1746631037622
