Timestamp start: 1747265071352
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      198.2    80.8    86.8   129.9   140.4   189.0   210.5   222.8   232.0   244.0   260.0   287.7   356.5  1058.7  3115.8   4972.2     5000  1747265072860  1747265078113
read      211.5    74.1    74.4   130.5   143.6   203.6   228.8   242.9   253.3   266.5   283.1   311.6   380.2  1043.9  2346.3  10008.0    10000  1747265079619  1747265084860
read      220.3    74.9    74.4   126.3   142.1   214.7   242.3   257.7   269.0   282.5   299.5   331.8   402.1   568.2  1856.1  14986.7    15000  1747265086365  1747265091565
read      222.0    77.3    68.9   121.7   137.3   217.0   246.4   263.0   274.3   289.1   308.3   339.8   405.7   614.3  2287.7  20003.0    20000  1747265093069  1747265098270
read      228.6    95.1    68.9   115.7   131.9   223.5   256.6   274.0   287.4   303.1   324.5   359.1   437.8   627.2  2932.0  25096.8    25000  1747265099774  1747265104973
read      233.6   110.1    68.9   112.0   126.8   227.6   263.8   282.9   296.3   314.7   338.4   373.7   466.5   863.0  2891.3  29902.6    30000  1747265106477  1747265111677
read      232.7    87.4    68.9   110.8   124.2   228.8   268.1   288.3   302.8   320.2   344.1   379.2   449.7   587.5  1176.4  34822.0    35000  1747265113182  1747265118380
read      238.7   106.1    68.9   109.6   122.6   232.3   275.8   297.3   314.0   333.8   359.1   395.8   472.0   903.5  2882.9  39888.0    40000  1747265119885  1747265125084
read      232.0    95.3    68.9   107.7   119.8   225.1   270.1   292.6   309.6   329.9   355.2   391.1   459.8   586.8  2151.3  44924.2    45000  1747265126588  1747265131791
read      232.3    98.1    68.9   106.1   117.9   223.0   271.7   295.9   313.9   335.2   361.3   397.7   467.1   591.3  2145.6  49936.8    50000  1747265133295  1747265138494
read      234.6    99.0    68.9   105.6   117.4   222.8   275.2   301.1   320.2   343.2   370.4   408.4   483.8   603.2  1418.5  55017.0    55000  1747265140000  1747265145198
read      232.3   105.2    63.8   104.6   116.2   218.4   272.0   298.6   318.3   341.1   369.3   407.8   481.9   620.0  2490.4  59840.2    60000  1747265146703  1747265151904
read      231.1   100.5    68.9   103.8   115.4   215.6   270.1   297.9   318.7   342.9   371.7   411.1   485.1   614.8   853.3  64871.9    65000  1747265153409  1747265158607
read      241.9   225.3    63.8   104.7   116.8   221.2   279.2   310.1   332.6   358.2   388.9   432.0   526.4   793.1 16250.4  70131.4    70000  1747265160112  1747265165309
