Timestamp start: 1747340043173
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      183.8    75.3    63.8   105.8   119.0   183.4   201.1   211.2   217.8   227.1   237.6   257.3   313.1   511.0  1852.3   4962.6     5000  1747340044680  1747340049879
read      191.7    84.5    68.9   112.3   127.5   190.2   207.3   216.7   224.1   232.2   244.0   263.2   313.6   587.0  3972.6   9970.3    10000  1747340051382  1747340056578
read      192.2    61.4    68.9   110.5   124.6   189.6   208.2   218.2   227.0   236.0   251.6   277.8   346.3   536.0  1234.9  15023.0    15000  1747340058083  1747340063252
read      203.4    92.1    59.1   112.8   127.5   199.0   219.8   231.4   239.9   251.0   266.5   293.0   387.3  1288.8  2605.9  20046.8    20000  1747340064755  1747340069922
read      200.2    73.8    68.9   109.5   122.3   198.5   220.9   232.7   241.9   252.8   268.7   294.4   372.1   631.0  1939.0  25074.2    25000  1747340071426  1747340076594
read      200.2    75.4    63.8   107.9   119.7   199.7   223.3   235.0   244.9   255.5   271.1   295.5   359.6   545.4  2270.7  29911.8    30000  1747340078096  1747340083263
read      201.4    67.0    63.8   107.0   118.2   202.3   227.5   240.5   250.2   261.9   275.8   300.4   365.3   514.4  1198.0  34992.4    35000  1747340084767  1747340089932
read      199.7    74.8    63.8   105.6   116.2   200.9   227.5   240.7   250.4   261.9   275.0   297.9   353.0   500.8  2340.4  40020.6    40000  1747340091434  1747340096601
read      203.8    86.0    54.7   103.9   114.7   202.9   232.0   247.0   257.3   269.8   286.4   313.5   398.7   805.1  2134.5  44832.8    45000  1747340098104  1747340103272
read      205.7    94.5    54.7   104.2   114.6   205.4   236.4   251.9   262.9   274.6   291.4   316.7   387.0   660.3  3816.0  49864.6    50000  1747340104776  1747340109944
read      202.4    90.4    63.8   103.1   113.1   199.2   232.6   249.0   260.5   273.1   290.9   317.7   393.5   686.1  3947.5  54823.2    55000  1747340111447  1747340116615
