Timestamp start: 1747241808651
Random waveform, random seed
Total number of intervals = 96 (122635, 82746, 106244, 57271, 14450, 110250, 7663, 137998, 152289, 56207, 149809, 28872, 113034, 64320, 170396, 43849, 11298, 156875, 129235, 50243, 15118, 141253, 74905, 103597, 12721, 93538, 178698, 99613, 75295, 9164, 177479, 94367, 106166, 137980, 21753, 175518, 30864, 166639, 81086, 29961, 53853, 137971, 52788, 94480, 83744, 70392, 29391, 86678, 45490, 105447, 129370, 40392, 7201, 82199, 13397, 84434, 121388, 121876, 95006, 7641, 120479, 72582, 79773, 9727, 175493, 139078, 97364, 79125, 155913, 65966, 17402, 18802, 94330, 19244, 12666, 46768, 66448, 63788, 162581, 135736, 111176, 157667, 144721, 83382, 114510, 20870, 35971, 82552, 172120, 139272, 33514, 92396, 56394, 143943, 137155, 159972)
Average QPS expected = 87223
Timestamp start: 1747241810158
Timestamp end: 1747242770397

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      218.1   113.3    59.1   109.5   119.9   192.7   242.2   272.4   293.7   317.3   345.9   389.0   487.1   999.3  3363.9 122552.2   122635
read      220.8   103.8    63.8   106.1   115.9   200.0   260.4   288.6   306.9   326.8   351.2   388.3   462.5   637.9  2357.8  82610.7    82746
read      218.8   117.2    63.8   107.0   117.2   192.1   247.9   279.3   300.2   322.7   350.8   391.9   484.9   942.1  3356.0 106238.3   106244
read      226.1    98.9    63.8   108.2   118.6   221.8   270.3   291.7   305.9   320.8   341.1   371.4   434.6   579.5  2343.6  57288.8    57271
read      204.6    76.1    68.9   114.1   131.5   206.0   227.6   238.1   246.4   254.7   267.6   286.2   328.3   534.3  2276.4  14386.9    14450
read      219.1   122.2    59.1   107.9   118.2   192.7   246.6   277.6   298.7   321.6   350.5   393.1   492.8   950.6  3092.4 110254.3   110250
read      194.4    86.1    68.9   110.6   126.9   193.3   213.2   223.6   230.8   239.1   250.5   268.8   313.6   562.9  3151.7   7680.3     7663
read      224.9   116.7    59.1   114.2   126.9   201.7   247.7   275.1   295.3   318.6   347.8   392.5   492.9  1370.5  2954.8 137678.3   137998
read      233.1   122.0    63.8   119.9   133.9   213.1   256.3   282.2   301.0   323.1   352.2   396.1   498.4  1326.4  3423.7 152247.5   152289
read      228.0    98.5    59.1   108.8   119.5   224.2   272.7   293.8   308.0   323.0   342.9   373.1   435.8   579.5  2449.1  56296.4    56207
read      230.8   113.5    63.8   119.3   132.9   210.8   254.2   280.3   299.1   321.2   350.3   394.6   495.8  1232.5  2936.1 149883.0   149809
read      225.0    81.7    63.8   115.2   129.1   229.9   259.1   272.8   282.9   293.7   308.7   330.9   384.6   545.6  2014.1  28904.5    28872
read      220.4   116.5    63.8   109.5   120.0   194.3   247.2   278.1   299.4   322.8   352.1   395.1   493.9   982.4  2608.7 113075.4   113034
read      226.9   104.7    59.1   108.0   118.3   217.3   271.3   294.8   310.3   327.4   348.2   381.7   452.8   598.6  2192.1  64330.2    64320
read      260.7   130.3    59.1   134.9   152.1   243.6   286.7   311.2   329.4   351.1   380.1   426.9   544.2  1591.2  3471.6 170383.8   170396
read      229.0    91.0    63.8   111.3   123.0   231.7   270.7   288.7   300.6   314.4   332.0   359.4   420.0   569.1  2272.5  43867.1    43849
read      203.9    76.7    68.9   114.8   133.2   204.5   225.3   235.4   243.6   252.2   264.6   282.9   323.3   545.7  2509.8  11294.4    11298
read      238.2   122.6    63.8   122.9   137.9   219.2   262.2   287.4   305.8   327.4   355.9   399.1   503.8  1398.2  4433.6 156711.8   156875
read      220.7   110.6    63.8   111.7   123.2   196.6   244.3   273.4   294.4   317.9   346.7   390.9   484.7  1086.0  2374.8 129158.7   129235
read      230.7   112.5    59.1   109.9   120.7   229.2   272.8   292.1   305.3   319.4   339.1   369.2   440.7  1055.8  3396.9  50345.5    50243
read      213.9    71.1    63.8   116.8   133.9   216.6   238.7   250.6   259.0   268.9   281.5   300.5   347.0   540.2  2235.2  15193.7    15118
read      225.0   121.8    59.1   114.3   127.4   203.2   248.4   275.3   295.1   318.0   346.5   390.8   484.6  1207.7  2922.3 141377.4   141253
read      222.9   101.3    54.7   106.9   116.9   206.2   264.8   291.1   308.1   326.6   349.1   385.3   461.0   608.7  2029.4  74883.2    74905
