Timestamp start: 1747323225081
Random waveform, supplied seed
Total number of intervals = 96 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124)
Average QPS expected = 95088
Timestamp start: 1747323226587
Timestamp end: 1747324186814

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      193.7    70.0    74.4   113.0   126.7   189.1   206.7   217.3   226.6   237.0   254.5   287.4   369.6   634.5  2298.1   8206.6     8195
read      209.5   123.1    63.8   108.5   119.6   187.7   225.5   248.8   266.8   288.5   316.4   362.6   520.1  1346.7  3667.0 158479.8   158594
read      203.8   110.6    59.1   105.4   115.9   182.5   220.7   244.9   263.3   285.2   312.9   355.2   481.3  1136.9  3187.4 149912.1   149766
read      196.6    68.4    68.9   112.2   126.7   192.0   211.0   222.4   231.8   244.1   261.6   293.0   366.9   581.0  2031.6  10347.0    10382
read      215.7   121.4    63.8   113.1   125.9   196.2   232.3   254.4   271.4   291.9   318.5   364.2   515.2  1410.4  4176.7 170408.2   170548
read      200.7   104.8    59.1   104.8   115.2   180.1   217.5   240.9   259.1   280.8   308.4   347.9   459.1  1169.3  2995.9 150601.1   150565
read      199.9   104.0    54.7   102.4   112.1   177.5   217.4   243.0   262.5   285.2   313.0   354.0   471.6  1169.0  2387.5 137206.4   137144
read      206.0   112.0    59.1   104.8   115.1   182.5   222.5   247.8   267.2   290.3   319.1   366.3   534.1  1106.2  2571.6 143263.7   143496
read      201.5   113.6    54.7   103.8   113.8   179.3   218.0   242.5   261.3   283.7   311.7   353.9   481.4  1241.9  3811.8 144730.5   144743
read      202.4   103.5    59.1   101.2   110.4   179.0   224.1   252.1   272.2   294.9   321.8   363.1   479.5   900.9  2483.8 116666.3   116745
read      201.0   112.4    63.8   102.1   111.5   177.6   219.3   246.1   266.0   289.0   316.7   358.7   481.3  1057.5  3445.6 129493.7   129314
read      200.1   110.9    59.1   103.5   113.5   178.4   216.7   240.9   259.6   281.7   309.3   349.2   467.6  1283.7  3275.6 144979.0   144723
read      200.3   115.4    59.1   100.6   109.8   177.1   221.6   249.2   269.0   291.1   317.1   355.6   455.6   952.1  4347.1 117314.2   117379
read      200.0   104.3    59.1   100.7   109.9   176.8   221.0   248.9   269.1   291.8   318.5   358.9   464.9   806.5  2694.2 119731.9   119931
read      198.8   122.8    59.1   101.6   111.0   175.9   216.4   242.1   261.6   284.1   311.1   348.8   450.8  1229.8  3526.2 131857.2   132052
read      200.6   115.5    59.1   103.3   113.2   178.2   216.9   241.6   260.5   282.8   310.6   351.0   467.0  1415.1  3426.5 143444.8   143350
read      203.2   113.8    59.1   103.4   113.5   179.1   218.5   244.3   264.1   287.6   316.9   363.1   530.7  1189.2  3015.7 143563.9   143518
read      205.9   111.0    59.1   110.6   122.1   188.0   222.3   243.0   258.9   278.1   303.9   343.6   461.6  1291.3  3611.4 172967.9   172981
read      202.1   101.8    59.1    99.6   108.5   180.8   230.0   257.7   275.9   296.2   319.9   357.0   456.8   754.9  2831.7  93981.2    94027
read      207.9   106.9    59.1   111.0   122.8   189.7   224.6   245.7   262.0   281.7   308.1   348.9   481.7  1263.7  2865.0 170119.4   170019
read      218.9   118.3    63.8   117.8   131.3   202.1   236.1   257.1   272.5   291.7   316.8   359.7   491.9  1161.4  4139.9 179353.1   179090
read      218.1    90.3    63.8   108.6   119.0   214.1   251.7   270.2   283.6   298.7   318.5   350.6   437.9   636.0  1990.8  47134.4    47130
read      215.1   114.2    68.9   114.4   128.8   206.8   231.3   246.7   258.6   274.0   296.3   336.2   460.1   818.4  2686.8  19410.5    19439
read      203.4   123.4    59.1   102.1   111.6   178.3   220.4   247.5   267.6   290.9   318.9   361.7   501.2  1559.6  3300.5 128994.0   128963
read      208.7    95.3    63.8   112.4   125.2   205.6   229.9   243.8   253.6   267.0   284.4   313.9   389.3   632.0  2793.3  23698.7    23787
read      212.8    89.1    59.1   103.5   113.1   203.5   248.5   269.9   284.9   301.8   321.8   356.6   447.8   663.6  1348.7  61850.0    61848
read      204.0   112.2    59.1   101.3   110.2   181.2   229.2   257.7   277.1   298.5   323.6   361.3   460.8   924.1  3277.2 101950.7   101968
read      203.8   101.2    59.1   101.9   111.1   180.7   227.4   255.9   275.8   297.9   324.0   363.3   469.3   825.4  2668.9 108902.5   108767
read      206.5   115.4    63.8   101.2   110.3   183.7   233.0   261.4   280.3   301.3   325.9   364.0   472.6  1072.7  4207.8  97237.8    97139
read      205.9   128.1    63.8   107.6   118.4   184.3   220.7   243.6   261.2   282.4   309.8   351.7   490.9  1609.5  3915.7 158687.3   158594
read      200.6   110.9    59.1   103.0   112.8   178.0   217.1   242.2   261.4   283.9   311.6   352.3   471.5  1316.6  3057.6 141172.0   141240
read      221.1   108.7    59.1   103.6   114.4   214.1   252.1   272.6   287.9   305.5   327.3   362.6   468.5  1114.9  3158.0  41408.5    41405
read      226.9   150.8    59.1   101.9   111.8   211.8   258.8   283.3   300.3   319.5   345.0   387.6   526.3  2148.4  5753.1  58070.6    57997
read      201.0   115.2    59.1   102.0   111.5   177.2   217.9   244.0   263.7   286.4   313.9   355.5   485.5  1452.2  3317.2 133633.3   133577
read      226.8   122.9    63.8   102.0   112.1   214.6   261.2   285.8   302.9   321.9   346.4   386.1   504.3  1593.6  2888.5  53704.5    53832
