Timestamp start: 1747334859512
Random waveform, supplied seed
Total number of intervals = 192 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136)
Average QPS expected = 88139
Timestamp start: 1747334861017
Timestamp end: 1747335821277

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      179.6    74.4    68.9   100.7   114.1   179.7   193.7   200.8   207.1   214.3   224.3   240.8   294.1  1002.3  2195.1   8113.4     8195
read      202.9   113.0    63.8   109.2   119.7   183.3   219.3   241.8   259.1   279.1   304.9   342.3   431.1  1383.9  3483.0 158291.0   158594
read      198.6   107.5    68.9   105.3   115.4   177.8   214.2   236.9   255.1   275.8   302.4   340.7   431.5  1345.6  3113.1 149712.2   149766
read      182.8    68.5    63.8   100.1   114.4   182.0   198.9   208.7   215.5   224.6   235.5   256.1   318.9   945.6  2166.1  10412.6    10382
read      217.0   131.2    63.8   115.8   128.8   197.6   233.3   255.0   271.3   290.6   315.4   355.3   465.1  1949.6  4023.1 170574.2   170548
read      198.4    90.7    63.8   106.8   117.1   179.3   215.4   238.0   256.0   276.8   303.0   341.2   424.1  1004.5  2242.2 150766.4   150565
read      198.0   120.7    63.8   103.5   113.2   175.2   213.9   238.8   258.2   280.5   307.9   345.7   434.9  1208.3  3624.0 137045.6   137144
read      196.0    91.2    63.8   104.4   114.3   176.3   213.5   236.9   255.7   276.8   303.3   340.8   416.4   955.2  2955.0 143456.2   143496
read      198.9   108.2    59.1   105.1   115.2   178.2   215.8   239.5   257.9   278.9   305.2   342.9   425.7  1201.3  3277.1 144709.8   144743
read      199.0    98.4    68.9   101.8   111.3   177.2   220.6   248.2   268.1   290.2   316.2   352.9   425.6   716.4  3049.2 116449.0   116745
read      200.3   106.4    63.8   103.2   113.1   178.4   219.0   245.2   264.6   286.8   313.6   352.2   435.1  1015.2  3557.3 129510.8   129314
read      200.9   100.4    59.1   106.2   116.7   181.3   219.6   244.0   262.3   283.4   309.7   346.2   425.0   915.9  3308.9 144417.4   144723
