Timestamp start: 1747125494888
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      208.5   114.3    59.1   101.4   116.1   208.9   229.2   240.2   248.8   258.9   272.4   294.6   397.5   940.8  3921.8   4993.4     5000  1747125496394  1747125501599
read      219.0   100.2    59.1   109.8   133.7   216.1   236.5   248.9   257.4   268.5   283.6   312.8   422.0  1314.8  3867.9  10052.7    10000  1747125503102  1747125508302
read      224.3   135.2    54.7   114.8   137.1   220.1   243.4   256.0   266.3   277.5   294.6   324.8   438.1  1082.0  5048.2  14980.8    15000  1747125509804  1747125514974
read      233.3    95.3    59.1   116.6   135.7   228.3   254.0   269.1   280.2   294.6   316.0   354.8   501.5  1107.6  2283.0  20107.8    20000  1747125516478  1747125521648
read      230.2    84.8    54.7   115.4   131.6   227.2   254.4   270.2   282.3   297.0   318.2   357.6   465.1   830.5  2021.9  24988.8    25000  1747125523152  1747125528323
read      240.1    88.4    63.8   116.8   132.6   236.8   268.9   287.8   302.0   318.7   342.1   383.0   480.2   834.5  1781.3  29992.8    30000  1747125529827  1747125534997
read      235.7    99.6    59.1   114.6   128.8   231.4   265.8   285.2   299.9   317.5   340.8   378.8   470.3   747.4  2403.9  35040.6    35000  1747125536501  1747125541673
read      237.8   121.9    54.7   113.3   126.7   231.2   268.3   289.4   305.1   323.0   348.5   392.9   493.3   871.1  5541.3  39946.7    40000  1747125543177  1747125548347
read      233.2   101.3    63.8   111.4   123.4   225.9   264.7   286.4   302.8   321.7   347.9   392.2   498.9   933.4  1846.9  44934.4    45000  1747125549851  1747125555022
read      230.9   122.1    59.1   110.5   122.0   221.1   261.6   283.9   300.9   320.4   346.8   393.5   492.2   907.4  4075.6  49852.4    50000  1747125556526  1747125561697
read      228.7    94.9    59.1   110.3   121.4   218.1   261.3   285.6   304.3   325.3   352.0   395.2   482.0   635.0  1993.3  55190.2    55000  1747125563201  1747125568372
read      230.8   109.7    59.1   109.5   120.4   216.4   261.8   288.2   308.0   330.8   360.3   406.2   505.1   767.0  2329.4  60003.8    60000  1747125569876  1747125575050
read      230.6   126.8    63.8   109.7   120.6   214.7   261.0   287.8   308.2   331.5   361.3   407.0   503.8   749.1  3022.5  64755.4    65000  1747125576555  1747125581727
