#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      240.6   412.0    59.1    92.0   100.6   157.1   182.5   198.0   210.8   227.9   256.3   966.2  2111.9  6985.1  9324.8   4959.6     5000
read      264.9   364.2    59.1    97.9   111.0   189.9   217.3   233.7   248.2   268.2   306.4   966.7  1987.8  3181.7  7503.6   9979.2    10000
read      288.9   417.0    63.8   101.7   116.0   208.1   238.4   258.0   273.4   297.6   352.4  1046.7  1921.9  7181.3 11221.1  14995.8    15000
read      327.3   421.0    63.8   103.3   117.6   220.3   255.3   279.0   299.7   338.9   470.9  1268.2  2012.2  5034.7  7891.9  20046.9    20000
read      339.6   397.2    54.7   103.0   118.1   240.1   280.9   307.5   332.1   375.7   525.4  1267.4  1951.9  3090.3  7863.0  25066.6    25000
read      372.5   482.5    63.8   104.1   119.7   250.2   296.8   329.1   363.0   429.1   915.6  1315.9  2007.0  7152.3 12073.3  29941.8    30000
read      393.6   432.6    59.1   105.5   122.9   265.9   320.8   363.8   408.6   499.5  1155.6  1343.2  1923.8  2554.9  7895.1  35002.0    35000
read      437.6   465.0    63.8   110.3   130.3   282.2   354.8   415.7   480.7   641.6  1273.7  1383.9  1953.1  3094.8  7710.6  40120.8    40000
read      456.0   481.9    63.8   117.5   142.5   303.9   396.2   471.1   553.0   691.5  1079.1  1414.0  2256.8  6339.8  8059.0  45008.4    45000
read      671.7   747.7    68.9   135.6   168.7   410.8   565.9   675.9   874.2  1286.7  1626.6  2416.7  2955.8  7788.0  9234.0  50024.3    50000
read     1466.1  1134.4    74.4   495.2   542.4   772.5  2221.6  2467.7  2573.2  2664.8  2756.4  3081.1  4760.9  8095.3 10021.1  46429.8    55000
read     1441.6  1129.9    86.8   478.3   523.9   746.7  2207.6  2459.8  2557.8  2658.7  2759.9  3066.2  4022.0  8093.8  9919.4  47141.2    60000
read     1429.1  1125.7    93.8   475.2   520.5   738.3  2176.0  2452.1  2545.8  2649.1  2754.9  3066.7  3848.1  8099.4 10345.4  47520.8    65000
read     1471.5  1140.4    86.8   490.3   538.6   785.6  2221.5  2472.5  2582.6  2674.6  2766.7  3097.2  4781.0  8106.7 10165.0  46286.8    70000
read     1420.7  1119.4    93.8   476.7   520.3   731.2  2149.9  2444.7  2537.9  2641.0  2748.4  3056.9  3600.1  8091.0 10018.3  47778.2    75000
read     1469.1  1141.5   101.3   488.4   536.0   773.2  2248.0  2483.2  2586.5  2678.3  2770.1  3094.8  4487.2  8109.9 10116.0  46366.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.20%,37.31%,100.00%
