#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      219.2   295.1    59.1    93.1   102.8   161.8   187.4   203.6   216.8   233.8   263.4   529.6  1334.7  2367.7  7511.1   4991.8     5000
read      271.0   420.4    63.8    98.0   112.8   192.9   222.1   239.6   253.9   274.5   317.9   890.1  1949.7  7135.7 11074.3   9987.8    10000
read      309.8   387.9    59.1   101.7   117.5   216.8   251.0   272.5   291.3   320.5   404.2  1238.0  2023.1  2723.9  7785.3  15042.8    15000
read      332.0   410.0    63.8   102.3   117.6   227.5   265.9   291.1   314.4   354.2   487.4  1282.1  2004.7  3217.6  7911.5  20085.2    20000
read      359.3   475.3    59.1   103.9   118.6   244.1   286.8   315.2   342.6   395.7   797.6  1311.0  2001.0  7195.6 11395.0  24922.8    25000
read      366.5   412.9    63.8   103.7   118.8   251.3   298.4   331.6   364.0   428.6   920.3  1319.4  1961.3  2549.7  7726.0  30043.7    30000
read      400.8   439.9    63.8   107.1   123.6   264.0   322.6   368.1   420.2   528.4  1207.8  1357.4  1941.2  2658.3  7883.1  34988.8    35000
read      449.5   472.8    63.8   111.3   131.1   288.8   364.4   429.5   500.8   789.0  1295.1  1402.1  1972.4  3641.5  7684.4  40168.2    40000
read      443.3   454.1    63.8   117.2   140.5   298.6   384.7   457.8   537.6   668.4  1022.2  1397.6  2209.7  2889.6  8006.3  44923.0    45000
read     1356.4  1104.3    68.9   427.8   480.5   700.5  1887.1  2401.4  2492.8  2592.6  2726.3  2992.2  3472.7  8081.7  9999.0  48743.8    50000
read     1423.7  1127.3   101.3   454.8   507.3   750.4  2146.7  2450.8  2548.3  2652.7  2758.6  3049.3  3889.7  8094.2  9992.3  47643.0    55000
read     1476.1  1134.1    80.4   483.4   535.5   799.3  2233.2  2474.7  2581.9  2674.7  2767.6  3084.2  4381.7  8095.7  9906.4  46078.4    60000
read     1435.0  1145.2   127.6   471.4   517.4   746.9  2130.9  2449.8  2553.7  2654.3  2754.4  3062.9  4423.9  8119.9 14121.3  47517.4    65000
read     1439.1  1124.3   101.3   471.0   519.2   763.6  2178.4  2453.2  2553.7  2654.7  2755.7  3062.8  3777.7  8098.1 10160.8  47228.6    70000
read     1433.7  1131.1    80.4   469.9   517.4   747.2  2148.8  2449.4  2548.7  2654.2  2761.0  3072.2  4099.7  8091.1 10009.3  47473.7    75000
read     1468.8  1141.4    80.4   488.8   536.9   781.1  2227.4  2471.6  2577.8  2669.1  2760.5  3075.3  5066.8  8098.8 10042.1  46436.2    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.45%,38.31%,100.00%
