#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      163.9    58.8    59.1    94.9   105.2   158.3   178.7   190.6   200.0   211.9   227.0   251.4   301.8   373.4  1981.3   4943.6     5000
read      188.5    77.7    59.1   100.8   113.9   184.3   209.6   222.5   231.7   243.3   258.3   284.1   341.5   526.1  2345.3  10076.0    10000
read      212.8   255.4    63.8   104.2   117.4   205.0   233.1   248.3   259.1   271.8   289.6   316.7   382.7   760.6 11771.7  14961.0    15000
read      216.9    75.0    63.8   103.5   116.4   218.9   248.5   264.6   275.1   289.4   307.0   335.3   401.3   537.4  1020.4  19892.8    20000
read      225.2    92.6    63.8   104.1   116.6   227.4   260.6   276.9   289.4   303.7   321.2   352.7   424.2   575.8  3568.2  25004.6    25000
read      234.9    92.2    63.8   104.8   117.3   238.1   275.0   293.7   307.0   321.1   342.4   373.8   447.8   572.6  1569.3  29975.0    30000
read      236.6    97.4    63.8   105.6   117.7   237.9   277.8   297.5   311.6   327.4   347.2   381.4   461.4   786.7  1880.0  35105.8    35000
read      242.6    97.3    68.9   106.3   119.3   242.5   286.4   308.3   323.1   341.2   364.6   400.3   476.2   594.3   945.0  39919.8    40000
read      248.0   104.4    63.8   106.8   120.9   246.3   292.1   314.9   331.2   349.6   373.6   412.0   494.4   641.2  2586.3  45003.4    45000
read      258.9   132.0    63.8   109.0   123.6   250.2   300.5   326.1   344.5   366.9   395.8   440.8   558.1  1498.7  3046.5  50205.6    50000
read      254.6   129.7    63.8   108.9   123.0   246.6   297.3   323.4   342.3   365.1   394.2   437.7   528.9   691.2  2416.5  55141.8    55000
read      262.7   113.8    63.8   110.0   125.0   252.9   305.0   333.4   354.2   378.8   412.0   461.2   564.7   789.3  1297.7  60066.2    60000
read      283.7   138.5    68.9   112.2   130.1   268.2   325.0   358.5   383.6   414.3   455.3   516.5   660.5   888.2  1335.4  64913.0    65000
read      278.1   141.7    68.9   112.2   128.3   260.4   316.8   348.7   373.4   403.7   443.7   503.8   679.8  1194.4  1955.9  69941.6    70000
read      312.7   171.1    68.9   118.5   139.1   287.7   348.0   386.7   416.8   453.7   500.8   588.2   868.5  1318.3  3651.1  74851.1    75000
read      819.4   375.0    74.4   340.9   543.8   773.1   828.8   860.4   891.1   945.1  1317.2  1506.2  1703.9  6984.0  7528.3  76042.6    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.62%,38.50%,100.00%
