#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      235.0   336.6    63.8    93.3   103.1   167.5   191.4   207.3   220.9   241.2   284.7   611.5  1810.8  2442.1  7480.6   4990.4     5000
read      284.9   352.5    59.1   100.0   114.4   201.7   238.7   262.3   280.9   307.9   370.9   981.3  1939.6  2509.7  7500.7   9910.6    10000
read      316.5   395.5    63.8   102.3   117.9   214.8   254.5   281.0   304.3   343.9   455.5  1299.3  2069.6  2893.9  7809.5  14935.0    15000
read      347.2   428.0    63.8   100.9   116.1   234.3   280.8   310.4   337.7   387.2   544.1  1342.5  2028.2  3798.2  8138.0  20031.7    20000
read      383.6   480.5    59.1   103.0   118.6   255.7   309.1   344.3   381.0   462.5   935.8  1373.3  2019.8  6610.4 11417.7  25111.2    25000
read      380.8   407.4    59.1   104.2   120.8   270.0   327.2   365.0   401.2   478.7   897.6  1354.4  1917.0  2560.5  7617.1  29978.4    30000
read      388.2   399.6    63.8   110.0   128.2   277.2   341.0   387.9   438.7   554.1   788.0  1340.3  1925.8  2567.7  7677.7  34963.8    35000
read      476.6   513.0    59.1   111.9   133.9   303.5   387.1   466.9   565.0   882.6  1343.2  1470.5  2043.7  6866.6  8047.3  40015.6    40000
read      471.7   475.4    68.9   119.7   144.5   318.2   414.0   503.1   606.2   748.2  1097.7  1467.9  2208.9  3229.9  7943.2  45048.8    45000
read     1467.6  1142.0    74.4   487.0   535.5   768.6  2209.3  2494.2  2603.8  2683.2  2762.7  3098.8  4749.2  8083.5  9855.8  46059.4    50000
read     1470.9  1151.9    86.8   493.3   537.8   744.7  2241.3  2523.5  2617.3  2691.9  2766.5  3109.4  4917.9  8090.8  9980.3  46258.2    55000
read     1501.0  1163.1    80.4   504.7   551.4   778.0  2284.1  2558.7  2632.4  2702.2  2776.8  3130.0  5260.2  8110.7 10290.9  45445.8    60000
read     1462.5  1157.8    93.8   476.2   523.6   757.9  2225.9  2504.7  2609.0  2691.0  2780.1  3103.0  4886.7  8124.6 12013.0  46535.0    65000
read     1478.4  1172.4    93.8   469.6   523.6   818.7  2225.0  2493.7  2604.3  2688.4  2776.5  3101.9  4884.6  8124.0 22206.2  46082.4    70000
read     1455.4  1344.1    68.9   456.8   513.2   747.1  2164.9  2501.3  2606.6  2689.1  2772.9  3094.3  6052.1  8108.9 46352.0  46964.9    75000
read     1456.1  1148.7   109.4   466.2   516.4   783.8  2206.1  2487.5  2599.7  2685.4  2771.1  3092.4  4819.9  8095.0 10187.8  46810.6    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.78%,39.11%,100.00%
