#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      166.6    67.8    63.8    97.6   106.1   162.3   182.4   193.9   202.0   213.2   227.9   252.4   308.3   444.0  3117.1   4961.4     5000
read      192.2    63.7    63.8   103.6   115.9   188.4   212.2   226.3   235.9   249.8   267.1   293.5   353.7   465.6  2035.0  10047.6    10000
read      204.8    73.1    59.1   104.2   117.3   201.2   228.5   244.2   255.3   269.0   286.7   315.0   378.5   513.3  2517.6  15014.0    15000
read      220.2    80.8    59.1   106.1   118.8   216.9   250.3   268.2   280.7   295.0   314.8   344.3   421.4   650.3  1817.9  19896.7    20000
read      227.5    96.5    59.1   104.0   116.7   226.4   264.0   282.5   295.2   310.8   330.0   360.6   426.0   551.8  2619.8  24948.6    25000
read      235.6   103.4    63.8   103.4   116.1   235.4   276.1   295.7   309.7   325.0   344.9   377.2   450.3   735.9  2077.3  30010.8    30000
read      238.9   123.2    63.8   105.4   117.9   234.7   280.1   301.9   317.1   335.0   357.4   391.5   465.6   688.4  4058.9  35010.0    35000
read      244.3   106.9    59.1   107.6   120.2   237.9   287.5   311.2   327.5   345.9   370.7   407.4   494.3  1072.8  1728.8  39929.6    40000
read      248.1   112.1    68.9   106.7   119.9   239.6   291.8   317.1   335.2   355.7   381.3   420.9   508.3  1089.0  2168.9  44932.2    45000
read      255.6   107.3    63.8   107.2   122.2   248.8   301.8   328.6   346.8   368.7   395.3   434.8   526.9   690.8  1251.9  49997.6    50000
read      255.3   133.5    68.9   109.3   122.9   240.4   298.0   327.7   348.0   372.0   401.1   446.3   543.5   840.3  5046.2  55053.8    55000
read      259.6   115.3    63.8   109.5   124.5   248.0   301.9   330.8   351.6   375.7   405.0   452.5   555.2   824.6  1748.5  59835.0    60000
read      305.7   233.1    68.9   113.4   130.4   266.0   327.3   363.4   390.5   424.6   475.9   610.9  1300.6  2289.9  7495.0  65027.8    65000
read      284.0   138.0    68.9   114.4   132.3   267.0   324.1   357.1   381.7   411.1   450.7   512.5   675.4  1115.7  2505.6  69740.2    70000
read      550.7   361.4    68.9   143.8   184.4   506.1   672.8   731.5   770.0   813.8   902.7  1222.4  1545.4  2783.1  7496.5  74951.8    75000
read      885.1   357.6    80.4   609.6   655.0   804.1   856.4   890.9   926.0  1011.4  1390.5  1555.5  1734.7  7032.9  7555.6  74142.6    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.55%,38.19%,100.00%
