#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      217.2    93.4    74.4   128.2   138.5   206.7   233.6   250.6   262.9   276.5   295.3   325.9   431.0  1158.2  3160.0   5013.0     5000
read      255.5   116.9    68.9   127.6   143.1   245.5   282.1   300.8   314.7   331.8   354.8   396.7   616.4  1410.8  2159.4   9982.0    10000
read      274.3   149.0    68.9   122.7   139.3   266.0   304.7   324.6   339.6   358.2   382.9   425.9   761.5  1614.3  3702.8  14962.3    15000
read      301.0   331.2    74.4   118.6   135.4   281.5   327.5   352.4   370.5   392.7   421.6   468.4   790.0  6112.1 11157.1  19917.4    20000
read      289.4   164.0    68.9   118.2   134.8   282.0   331.8   358.2   376.3   397.8   425.5   468.1   626.7  2260.9  3398.0  25019.6    25000
read      311.5   263.0    63.8   117.9   135.3   293.1   348.2   377.8   398.7   423.6   455.3   506.4   853.5  4553.4  7696.2  29920.8    30000
read      290.6   176.8    68.9   114.3   130.0   276.7   335.9   367.5   389.9   415.7   447.6   496.4   632.5  2482.2  4223.2  35069.4    35000
read      332.8   369.3    74.4   116.9   135.1   297.4   362.3   397.4   422.5   451.3   488.9   554.0  1084.9  6312.4 11117.8  39887.4    40000
read      346.4   352.6    68.9   117.7   137.7   301.6   371.2   411.7   440.7   474.1   522.7   618.6  1308.2  5298.1  8103.8  45034.0    45000
read      337.6   335.5    74.4   116.0   135.4   294.5   363.0   402.8   432.9   468.0   516.4   606.4  1228.3  5125.5  8552.0  49903.6    50000
read      341.7   302.7    68.9   118.6   139.7   303.5   373.7   415.8   446.4   483.1   533.2   623.8  1086.1  4152.6  8373.0  54761.4    55000
read      363.3   299.3    74.4   123.6   148.4   321.2   394.5   438.4   470.4   510.1   567.0   671.8  1188.7  4458.1  7881.4  59899.1    60000
read      372.0   334.7    68.9   121.5   145.5   315.0   400.3   452.8   492.2   541.7   609.4   725.3  1287.4  4890.9  7939.4  65027.8    65000
read      395.0   303.8    68.9   130.3   158.7   342.9   434.1   488.6   529.7   580.2   649.6   782.2  1242.8  3564.4  8633.3  69928.8    70000
read      546.0   342.2    74.4   168.1   219.1   499.2   636.8   693.5   731.0   779.0   858.4  1122.4  1530.1  3116.5  7745.0  75149.6    75000
read      734.6   381.4    74.4   279.4   388.7   685.4   748.8   797.2   847.0   947.9  1194.3  1359.9  1653.6  4731.5  8055.1  79341.1    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.92%,35.68%,100.00%
