#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      192.9    87.3    68.9   112.7   122.3   185.5   207.8   220.1   230.0   242.1   258.5   286.9   373.8  1037.8  3171.5   5014.4     5000
read      217.6    91.1    68.9   112.0   124.5   211.1   240.4   256.6   268.6   282.8   301.2   331.6   419.1  1272.1  2304.1  10072.2    10000
read      239.7   112.9    68.9   109.4   122.9   234.4   271.9   290.4   303.4   318.4   339.0   370.3   471.3  1292.1  2880.3  15014.6    15000
read      255.5   153.8    68.9   108.2   121.9   249.5   290.2   310.6   324.8   342.4   365.7   401.4   522.8  2058.1  5406.8  19939.2    20000
read      275.4   227.5    63.8   107.3   120.9   262.5   308.0   331.1   346.9   367.1   393.1   435.4   722.1  3593.7  7559.2  25009.4    25000
read      292.0   320.8    68.9   107.9   121.5   273.5   325.7   352.3   370.6   392.6   420.5   465.2   765.2  6571.7  8107.1  29989.0    30000
read      276.7   169.7    59.1   107.1   121.2   268.7   323.7   351.9   371.3   393.7   421.7   463.3   582.1  2033.1  5088.9  34958.0    35000
read      302.4   379.1    63.8   107.3   121.6   268.6   329.9   362.1   384.7   410.1   442.8   500.0   885.6  6266.1 12204.9  40125.8    40000
read      284.8   234.2    59.1   106.1   120.2   262.2   325.0   359.0   382.7   408.9   440.9   492.5   672.5  3544.9  7630.0  45023.6    45000
read      309.8   296.2    74.4   109.0   125.8   278.4   342.2   378.5   403.4   432.7   468.6   534.1   895.6  4611.6  7951.1  50057.8    50000
read      307.7   284.7    68.9   108.7   125.3   273.4   339.3   376.8   403.7   435.5   476.0   545.8   963.8  4242.5  7797.8  54950.4    55000
read      295.2   217.1    68.9   108.0   123.6   266.3   331.3   369.6   398.0   430.9   470.6   537.7   800.3  3156.4  5121.5  60015.3    60000
read      326.5   276.0    63.8   112.5   132.7   291.8   357.6   397.6   426.9   461.4   506.7   592.2  1057.7  3902.6  7951.3  64796.6    65000
read      314.6   243.9    68.9   113.4   132.9   285.6   349.9   389.9   419.6   454.3   498.7   574.0   852.7  3046.7  7987.3  70092.4    70000
read      362.2   283.4    68.9   123.7   149.7   317.8   392.4   438.7   473.3   517.4   577.1   673.4  1206.2  4026.3  7694.5  75101.4    75000
read      335.9   233.8    68.9   120.0   143.4   298.7   370.6   415.9   449.7   489.7   541.3   627.3  1048.1  2865.4  7409.9  80144.8    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.21%,33.33%,100.00%
