#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      181.3    68.3    63.8   103.9   114.8   175.8   197.2   210.0   219.2   232.1   249.6   276.1   336.4   661.3  2283.3   5050.6     5000
read      213.4   237.2    63.8   108.4   123.4   201.5   230.5   247.1   259.1   273.1   292.1   319.1   378.1  1476.8 11409.3   9930.0    10000
read      218.6    73.7    59.1   108.0   121.8   215.5   247.7   264.7   275.9   290.6   308.8   336.1   395.6   551.3   983.1  14949.6    15000
read      229.4    86.2    63.8   106.3   119.2   227.7   264.1   282.5   295.5   311.4   330.8   361.0   426.7   577.5  2158.8  20035.0    20000
read      236.5    96.4    63.8   106.5   119.2   234.7   274.6   294.6   309.0   324.9   345.9   378.6   455.0   701.8  1821.3  25102.8    25000
read      235.9   109.0    63.8   105.1   117.2   232.4   275.1   296.0   310.8   327.2   347.4   380.3   456.3  1047.1  3123.6  29977.6    30000
read      249.8   138.2    63.8   107.5   119.7   247.2   294.9   317.5   333.7   351.8   374.4   410.6   497.0  1176.2  3359.1  35018.2    35000
read      251.5   221.1    63.8   105.2   117.9   243.7   294.5   318.6   335.7   355.2   379.4   417.9   506.4  1017.9 11443.8  40062.1    40000
read      247.5   111.5    63.8   106.9   119.4   238.2   292.1   318.3   336.9   358.2   384.6   424.7   509.3   911.8  2651.5  44990.8    45000
read      254.1   112.0    63.8   106.6   120.1   247.3   302.0   329.3   347.6   369.7   396.5   435.1   517.0   638.9  1555.9  50076.0    50000
read      255.8   120.9    59.1   106.9   121.1   245.2   300.2   328.8   348.5   371.8   400.4   443.9   535.6   867.7  2776.3  55155.4    55000
read      258.7   120.4    63.8   107.2   121.2   246.4   303.2   333.4   354.9   379.9   411.1   458.5   547.4   767.3  1990.2  60038.0    60000
read      267.0   146.0    63.8   107.8   123.1   255.9   310.7   340.8   363.1   388.5   419.8   467.0   570.0   951.7  3541.5  65272.7    65000
read      269.8   132.6    63.8   109.2   125.1   258.6   311.8   341.9   364.5   390.8   424.0   472.2   586.0  1128.1  2894.6  70138.6    70000
read      271.7   121.2    68.9   110.8   127.5   262.3   314.5   343.8   366.2   392.6   426.2   477.2   580.5   791.4  1988.9  74885.0    75000
read      280.5   125.9    68.9   114.6   132.9   268.4   321.4   352.6   375.6   403.5   441.0   498.2   621.2   918.1  1885.7  80079.6    80000
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.75%,35.50%,100.00%
