Benchmark,Thread_From,Thread_To,Speedup_From,Speedup_To,Slope
parsec-blackscholes,1,2,1.0,1.784,0.784
parsec-blackscholes,2,4,1.784,2.948,0.582
parsec-blackscholes,4,8,2.948,3.866,0.23
parsec-canneal,1,2,1.0,1.731,0.731
parsec-canneal,2,4,1.731,2.718,0.493
parsec-canneal,4,8,2.718,3.273,0.139
parsec-dedup,1,2,1.0,1.85,0.85
parsec-dedup,2,4,1.85,2.748,0.449
parsec-dedup,4,8,2.748,3.204,0.114
parsec-ferret,1,2,1.0,1.951,0.951
parsec-ferret,2,4,1.951,3.538,0.793
parsec-ferret,4,8,3.538,4.08,0.136
parsec-freqmine,1,2,1.0,1.992,0.992
parsec-freqmine,2,4,1.992,3.649,0.829
parsec-freqmine,4,8,3.649,4.808,0.29
parsec-radix,1,2,1.0,1.969,0.969
parsec-radix,2,4,1.969,3.881,0.956
parsec-radix,4,8,3.881,5.907,0.507
parsec-vips,1,2,1.0,1.973,0.973
parsec-vips,2,4,1.973,3.861,0.944
parsec-vips,4,8,3.861,4.092,0.058
